id,SQ_PRODUTO,NSUCCG,GTIN,TPGTIN,MARCA,XPROD,TPPROD,PREFIXGS1,PREFIXEMP,CNPJ,CPF,IMGURL,XORIGEM,XDESTINO,NCM,SITGTIN,DSIT,CSEG,CFAM,CCLAS,CBRICK,SUBGTIN,TPSUBGTIN,QITENSSUBGTIN,PESOB,UNIDPESOB,PESOL,UNIDPESOL,DT_FIM
77,225,199583560690139,18392833439184,72,8A,PSSTJIZJFMAKVYI0H4GH2UE0NE0FKU3KRAG1CB0VVVP8R6F36VJICNOWF0RGDLBTSAYRB8FY0NCEGOF8MSI0H0Q0C7K6TDMIJ15L2XWXDVYSULQVNYI1V5040SOQESQ59WL5BRSLPE73OO0JADTY09W37WDPWO72DC7A23RBYSRXBR0BGYSMHXG4WF0QQ4V91YNL1Q4Y548ADJC4Z52X8FXZ9TU813USQ76G0R1PJGQAIB29TCCGH4ZOZFKOUGRJDW1WKPV8Q2CBRIBS0C0SYNOL3Y16SBWGIVCOGA5R9OWK5FWYODLYZ4I2ZG1T1BS4DC4BMVIW6SXT8P91Q8IUA3YTRDNP9JUNU1F6SSMBX3WIK4YFARMS43KOUPDPL9NKHRBYQBB1OGWBDCPOE8PA2P8X6RHUPRI2FZ7R0OURKRADY4TRBSHVEZFIAS8RXEL4X1OST3DS9SSILHQF102R0D6MRPSELWK85CE4U7B6HGVOKUKJUHB1,1OXLXRAPCWKM4BG,679,18249358918,I2A8R49Q8LED9V,H1R61SZZEAA,8OZC740VKHS9WSIX9NZC63EVSBNLIGEUSPLPYFEVGYDFFJPTMP3ZQR67SOLAW0NQOW3XU2XUW1O0BDKBIV5PZI8Q96BXNAHHT2V0G8P4BQ0UE7TM32LYY8O2J22BGP6KOHUT4P7PZFC8GUN94PIJXXKGH446NALOYQPYULZH6ZY2WLML1RQ238SKLJ28BJKQX3WG4X42S4FYLZVLMLMK1015N1D2MWWCT5YOP7X9LAE279ZHEZ6BQMEMJ1DJQSV2SQ18IJL9CGG05P40CJ9RBOM1S3W7TI9MVAAGAVTS0F9H,JV,B2,24954345,1,2006-02-05,90596999,35838570,78395071,34523008,23439616430315,98,63725859,30886.215,TX7B63IH9CGEO2FL3DLD,86261.003,VTADRRTTY0N1UU25XEYV,2000-12-14
78,98982876,797598979007109,83381474736317,43,RC,38I84JOR0OO2RAJTJECMEC84ZQSKO7W0JGEMURT11ZX419P0VWCSVJJ2XG630MR5CS87RQJRJCSI00Z8QWCN0AVY9Y8NKRT1JGM3R3GZUJWC49ECNZEFEUCWNTFYYQ8XFOXZGOX1MLWRHH9TK0H1W20U41AQGOK4WDEAYWK6TAYJHGX7OCCC0BORBF3FYF2J93ZI76OQ90KEW71LR7JHQ0O3ER1REYQ8F4CWK9RMZB63I6CES49WSWTB904DTWJ0LTES48SP0D5A9AR9BOR5HOGIHHL304JFW6AIJQ959FC17SM2HNJE28Y0FB9ZU7GMZU9ZU2E4YEH1YF6NNJRHDJGSW0JGKPMINCCPENY1H9LHKJNGN3O1Z0S0DQJHQ6JW1MIDEFVM1SOS4JOPIM58XFYVVJ8T01I6NGKKD5J3BWHK9P1YV4TC7KKR3VCGI19HE6IBAQT8ECWFKN6VNH8DRFBSG66SE6IY5N2WOS4NNHGRGNIFMX1F,E4417MIXYD0RBYF,907,34012659810,59O8Q7DNRONL2M,U6P6UCFZLVG,0Y0ZJRM9QFUW864S5H4OPWPAWCSUUQQAG8F0GYIIU0EPGJYWJ0SZW1NAPC4XAD66X0IFO8BAIAEJ0CNZEJRXSX66R3I6ISARH57YARDCZYXCXD2Q4YQLDUBVPG95OD8NKBAQBBXBMWMV6769ED4U2MFIAUMYU14PHQ7F8L9SECYBHOQQ96824LILAGIZQZCFOJTLWCZV3EVNN2RJ196M3EXA1Q7SVV8ZI45Z4DJUW2VSB2ZJW7GMTGRDZ96JTDCF330K37VKA9D44L8TJUP67GONZ30FYFINCWO7DKZ7YWS7,NJ,L6,14674323,5,2000-11-03,76723853,37659819,56420866,99003207,64481261558225,98,61963359,4910.429,C6JFR0PU16PVSIJ9SYYE,43818.776,YI0YV6B7GZHT96IIPVJV,1993-02-04
79,75,831493086532673,38257644512090,93,1B,DN2QSS5C0CATET21IR2U56UQNHK757HV0IW08JGFFP6PDGTTLISZU2U5JBWHO9EU1T5P71BVOJ6NUFWKLUUISS5VHG6P974U8DA9HJPAFGES5BUD10PGAJQ022HXPVJ0QVLRXY6H4Q04O7Y6OEB2GXP5V9E3VQLW142ETGTQ8AC0TEQK0I020TIZE9708VAKG0FR3XVCB238YJM6ABBWXEYWVN6NZI9CLD5KJWGTQY7P7FM32FIHSNIIDVFARCWTR5YMIDHTFXXLCVYQ06XYS4RN9UX2L53OJ9FNWQ7NKUDOQ2G9OBIQ7K9L4U1II57XLSDIDXWVCLVYP6X92OREW93XXC2KFWGZYMBW857FEEKATYNEYFM7CEY7U0FMLJ4EDEZ088PERLBFO0JTEW5XNO0UCE8TLA6CSI54W8BR3UDXGMYQNQU5OLKTIM8TX36HTK7ADPHU4AQ2ZHUQXSV8TCKQGCDBOVB5X1MEHMIQJIYC742P1FGX,S4JNKNFU70IFGXW,836,23881000113,Q5NOVKZQG3XSC0,S1E4EKL0ACW,LQWUSQAK364A98TKFNJESS6PUYAT82Z4JI907R9DWDVULGEXENOKLQ1MS3NDRY77YII0E5784LKLKEVE527Y20BEOYXRB4ZVY83R0CJRVIPBWW6BUJKAKC4S6ISAMIWFSBL45BN7LM7KT5MFZCOZ8QI7EPPAWT9PNB4S28LTBEBM5RGRNF461SZ0FWI233ZI4WZV61LHIYZCTJXRSD11BLTYR4Z0KIIICHP79PA3XT3AR6WGPXEDKVDIQX8C1PBG4WAP5MD9FFE2MZOHT4LM3SIB198Q6S0XX10Z6T44TJ7W,E3,C1,42584961,7,2008-10-27,23501534,52947256,16505362,48440696,47888379011073,14,28176906,37107.548,JE5RSB5W1G8QDIB9NUOL,37223.439,0VNDANT8B7J20Y600Z6C,2003-01-02
80,871259,325222786645940,40776185790039,67,AV,K7UF9EIQANLEPNF467KAD07JW68HQ2ODSYFSZZ5XK86FJAA82BX88W1WTH0F5VE6R1NHE0O4ZWUWH5W2QG2IDA99C0XZ4OLI8J81Y6UTNJZS4XI573MRSYTTQ578PJEKBQYHZ6KF6FCCH4OZ47YJFZTSUC8OTLTXCG2LL1HFE0LTB0QXF2P0KMWWCNBCQMOC0AL6ZE7QJKPR49G0QRZDG19LESROMRHUI77IRIQSBGOTTYKT30LMFUIPMVQJOOB2WBMU3AIYGIIWR9KOR26HKCPLJS57ASPHLO0WN1QCU9DYA47URW3ZELLE4R77A5LGRALDRTXKBJWAXPAQ5MNXPOUNC3EHJFD3A8RRMQOJBCD03S0LIAS179U3SJB0VHG2OOVN9J4OMNIJRTQGR5FIT4KR55FWNKOPMNJ9HZBK7V58DWH5CUI9AV2NZDRO7UKQYXFEKRRMBNE2A0QPE379G69VJBLBMZDN0ODIEAJ8T8QYIT53D5J5,D1VWPHUOJ7RRA9R,448,18246084811,6LCK81SYF21EER,BVH47TQPOTS,4ZO8ZNWX5GP1TU5O3400F8ZEXAVIH2I15ZU7AOWIVC94EF4T2KCN12VAAHKZREI8OMO4SUVS7RYBBPFF9K7KP5WSZC1O5VEXGIHOYE38BPN53UUZKFAPNGMNDSJBJ5HT5S3GTG6HF9DMEICZM2XJH437HCGHUYWVFQCM2GFDO0TB9I5APIF7PGGMVWTGYLSALKELBFHZ2YDV5JZTNS6GIWRKS8VKN1KD96T9VMUSCEDZ956OKLS1GU2ZTRWIPT58YA9NWO05JU45PW5FKIRI4JZ60PZVRR6369HBZC25Y8MK,F4,5K,92657512,1,1990-05-08,62030884,74240417,80774704,87639428,34192161158272,18,81439380,70137.163,O4T0H4WLBV09KKZZKV8T,84535.184,E3SKEHY1D1GLPG0H706D,1995-04-12
81,735,430890824120809,33308018393407,41,1F,I5EFJH1AD26JATD206CEKJV1JAIY74B1Q0I0SLKNRKO6P68EBY6KG2C37UIUNAA1E9TEGQI3WK1AUFFV80RXIWNRX5KQUK1ZDJD364IJPTCMBMT1JJS109SM1AXO6206W05LHPEQ9FY6AG8K1IWPCOHI0E1OYWOYYFMVN7BB7ZSUUQZCAKT7IQ5WA5WD8NWXY0YDC7596Y4U7O2HF10GKJSDSUVUWFGPYLN9AL1MX07K347193JKFJW7AAPVXH2KM9LOGKK2XSY67IPL9HPN1L4YKCRD4T39GG1SYEDG6XEUKLYVPQM9A4AWXCNBTG9S74JGTYMZH3DHYO0V9YTM5DXSU7O7JZ8GTBX60UAYBCSRG47W4PMRZPHTPQI97Q2LCX2XBISCL8DB74TEFBNNZPJT1035XGSBFV4FQHBZ0GOMX4FA5M6DQPDK1YX03CQGXFJSX8YZ6SX76RPG7LAAUY7E51IUWI1FY5Q30KXHP6PXEBZ3JKGR,ILW70BNKTNZV9RL,937,15600436936,6PU1M2VM1KYR8U,S37Y0OD9UME,Z54NDOPHUY7JUF47PZPHZSNSBUB6OL89PF3ESEID3G7JT7G44L2LPSIQ59EJRCJ1L5YF0FZXQSPQVBXVLRJ5FXWY3TR6WPDKVK7Z3QP2FYO7HFFTTZCGFSRH0TGNYNPR6ULXNUIYWHDWHTS1JYQKVKRCKPI8Q89ZQR5ZYZ8TDIC47D62QSGLT4YBQEBGRX9HQ71TBVDXNIXQXQU9EIW7UXMK9MMJDOBQPEJTI0DHS0W3FYGX0JGXHT9LXECJA3EDG5W2U8GLX0SYG96XHBKUQ7RMAB3KV556Y4J2BA4MUJJ9,BL,BC,75910894,0,2010-04-09,60482415,94630890,31663018,95133471,57797182827411,94,85604799,77652.243,HO4ZSHMAE91S66KHGJNA,53458.62,65YKG4D4RF2IJEK93MLV,1999-06-05
82,341749365,741678975601305,48956082854144,83,D7,67QWY36I4RDYCUVCFO8X89O8OYEIEZG7C8ARX178B837U3J798YS1HYXH883BML8DDDK12J1Y6BZX9NYUU12J7GM3UEPQUEVHL7HTMX083NL9WG2DMB3HI99OA9W3AIZQYSU9GY2KQAHZ2BTKNGHX8VBVF42X761ULNPEFDYQCUGVBIRVZEJU0TSTGVE81YUNUYZGLEX3TUZYPPPR02SYCOP4NS9FE4WFR275ON5CMIZ07XV0PBT11IXTVUXDHNWZK1N1498GVMPOJ08GO8ZWMTOBVAVMVD0YY0BC7MD03A1JI791M047CGCFAXG1BV97U5MD5F60BJ26ALG2DE2ZSQLQTA7645TUA3QQYRSGTATQZZEH7ABEOVNDXNFWCTUBQR4EKNTDYI18DYUOY973N6H8TI8HI7AQTEHP6U0R6TOHZ7X5W3Z9QMW2P3YF5FS0D58APYXHZZL5EOQLKL56NFF4RGW9SDDQ0S4SIYVGSBMLJ2P7WN1,I827782BREU6G2S,786,62388832208,PYL44KAB3V1M53,PINK23A3I2S,RY3M1C9PD00VYQNQUUG1UJA5NVDE40YCUSO5EVBKAVPWDWHLXZYQCO7J4G44P10D1U52GVOKCV1MQ0IOV0J4N8M7K4CVCXE4WA891HJAZI6ERDFA6YKL2BFUVG4DPZR5ASK7AI4BP0SHO93YEMFF7WHIJXJNLSCQEOUMQPS5WVAQWKNJG020WLVZEFX8EO8M1E47Q51FB8QXHCEQZU3GCZV3RNZ946XKC20RV5O9MBYSQEKQG9ZJTCCC2F45ZGASURMBCEPF7BP8C1O1SDV8KR1YGKECX4BIECN7E5ET1JO5,AX,Y9,9806046,2,2005-12-29,75815198,46190565,92057750,46012591,64091611869965,49,64981701,83694.82,BNSTC33AUWG4DP6WC0ST,92705.786,JHMYNNYUZ18SHPLDF32I,1993-01-12
83,60506662,286833144063989,45336362906250,11,0J,57VI1SLK9T08VOUO22AD6Q9Q681K3IDK1V6ECUOIUNDKANL6NYORKYJ5DEHJJ82O6Z18TZELCUA7HG2KOG9EZ7FW39GMFHIY5LUIAG31BVGEOPYVV6BH7TTWMJEV1N2V3JZHWGMYD0MES4EZVZQHXEJ8LASS06YP3ZZYY7J7JCEHGPBTW87IRQ494CKREWBBD1JTIJCDXX3UT1F8ZVKNXY2QWVPP2FEUH53E7QWC34GHK6ATW6PFNEL6Q90XPG24JWTQT8UK7Z1LCC2L8O8XTPWSHLFSOB9YJVH49YU60HLIZEZHCS7GJEDU5KQN30V9GALUZF617LPNBTJ3924U5LHOHUM6CFRCJUF6ZII7QDI36VMJUPVA84SMIR7QWACCUOA1X3I7NSDW4YDLVHC0ASQRX9YKLLCJP6Q4LOXLULUAUWVPG9PMQ4CPJHPFG0CY7MJTMMM46NYX2M6RFUUI86LKNEZ61PV5YGXFNZOX2TFP2VHQJN2A,NMUYLYVPKZ6I0PU,913,328408143,74QI98DP5G4TWT,JFBYEGFVB7Z,X16C8MM78NVE56RXVJFKJQX2LMMJ2CQRA5T0ABKU1S1G4IN4WYD1GZZVFA47RRRX0OLPIA6VO3S4WUUZNAODPLCOUCG4JQ0EXCF4D355PR8SZKW2VO4LZ4LHUQ7RU7HSQ4YYNMUG2UJ7AZPFNF29XM6QOZE0FOFESOPL3TTTEG3FYXL9EIGL91O7IAZ37SRF1V0FBK43DR5XSJ4P4LFZ7HPD5UATJP5WP2GVWR04FGC1YKQIT5KQ2FGX7WAPZSVMRNDJ5GQKW3QGQSWUS2PGF347RV14U0HIQOUW2P883ZFP,HF,03,953928,9,2005-09-12,91285098,15985501,67523046,94578722,79877575436036,60,56728969,7880.473,CP67Q4TN84TCD5Z0NG3M,96747.387,2P42R2Y1Z6HNHTIRI61W,2019-05-16
84,2,65813702514566,61280291661954,13,GS,3HRV0ITH2V3I06I18I71YSCPSQVFMHPKG6WOIDZT2EII90FSBJSJYWO77VHAQRRKTR3BI0563OXOGJ18GQT2VUYPQJ1HB8JI83J5Y0FIDYHVHNB9XYXC8KI5PQAKKFOE745Z1UWP3WUC7DBW8TV42MG2JU55F37JN48Y12OYGCOHQIMGP4F5NA52ZEV609LTNIA6AXWS9CTFNAR2U7BJJS6B2GP0A9G7WIEO05THSMEZCJ1CK78EI30DJG9DIEDAEG1O75VKC2JXEOH6POC857D56L7F7VEGNI1CAARXXJR9ACBYBKDJ5AFPL2PE3E2NS0L7GL86WF478BDOSAU1705NJKX6K8ZFB7VK1QQBTWO9JRKG131AEDBF4PDCZS80KYBD3KCZ0A62NKM19OUC2NJM8T6VXEDQN76HHOIXUZCKXX9TWUC0MM9BKEZD1UA8CFRJDZNCV9NERFATYNZMQGQM4GWLZCHOB2VTJXUR7AHCRST4NI7X,J5HGYKDBRHNB6CD,408,61166902470,QQ61AFPQIVKRLB,WKVPI7SIVYJ,OGFP4BXA2K9U65W8EELAQY3HZWGCK60K32EPHK3I1K3A9O04B66HW3I9BDZKAWF0WXDV7NWIVMYT7SJNTD4G4X5AJI5AHSZ5VAQ85BMXL4M98V3EQAY83QUWXDEHPIJ7GTZ2TLE13NRPC9AFTWYIYG4WZ5NRZYWRZ24VSDKI9NZKGUVP22OJJFMR61GWZKYU16M98FW0AEQLTRD1PU7ZY2MBBBH2AOMZ5B5SNT7WWT3C2Q4NI0ABJT0ILLY3LDKCGG6BH4287BN6H0AJL9OTQNLYN48N6AXYJP8Q30GW9WBG,EB,VQ,16846590,9,2011-05-02,46360492,28737747,86682648,87375105,75648458294888,77,1732739,2383.548,NCMHXLZO7CX7TX6TQAPY,70038.336,OP08VKGUR5VKXQ0XZL6Z,2003-10-18
85,387,672474519162514,44857425936884,15,PI,V8QHMVG4289HG30GGK8Y8B32ZVJKWGU88TXT56F2CW7I3OQM1O904EUZWBAKC9I3PUOQI2VV3SBB7N1YAUWWCMWJ1GA5MDRPYRKN5UYTXEIGLN4UOW5Q2VI378CSFR452GG3BAZMCUFJKLMLGJFSDW7CGUCS6SLKY7IFA3A5UOZHLO6EOBC8OOXV9JZ2XQ4NZ9NWYMJW7QH843DNNG9BQGWTCO1H785BKOXMAPJKIFB7DSPMRDNFUPFX9KWWAM7XU0E82AG4WN94785CA7KOAP4B9O2OR5KBPW90KRXJN6J1B56UT669NNB1NI2J9E5Z15EI4HNIIUGZRJL0JRGWRWYABUUI53H6FDR7HX6H4EZVTK62ENPZYBSWEXYXZ66CES579N22PHR6PP2ZM7GSKXR72PGGQAX1KF6XVPBAIKJ876QT4YSPCHYYDLI8X2S7IS21PK3XPKPVOPST8503O9OOQYWJA6162E2WQ019NG0CGNELWBQ5,E6U4PL8LTLBI4BK,733,22363409616,FSNB0XZT8F1HSX,50WJJ87PQ3G,EHSWTMVGI48GBU2N38Z7RZAPI1CWDM3SMTXYKTRRYT77U3IJ79V41WBRWHIVCH00AXCMGJDSZELBE2NTWIGR94M013GAYU0AINLVKG1GB6ROGQDIAN7G8RD687JC91616U0XKR14LOFPVEIN800DI85YQO0RZ1FSO1Q424KUUKQMIJXK82DO7V1Y88TXNTKDPXSGJKELS2ZTIJIXX5250NM5PPD70UBG8Z8CGWQ3418Q9W7FG9LO5JNW59TZB2EUW2KHHBJROGUU4ZHP79C5YDZH2VAAUGVBKB4QC8EWET5U,9M,SG,57185181,1,2005-11-30,72957350,71608094,38778133,11807184,24645800801770,33,84191460,30365.593,31VT9TWGJZ5WJO5UUPKK,4047.568,O2QFQSSJ6R53CE3A97J9,2012-03-06
86,94,453553091124914,43914695235839,4,KK,GDWP2DNL4QDEKIT2J4X6BRUHZA5ATAC3QBIVNQTROGGCQ1BR996986KSWC1ISTELAL15OR4E11ZH7DUT3Q2KRIXRIHU71RW6AX05RJ67DD21PFWMDLC4XPJRIT9KW4KZG0LU7X9W4RZT10WUTFDNFYGHU2GS48G9RW2CVSIENAK8APN69YJWME7WQ3UHFH8CKZYO8FDAY3X321DPWRSLM6B83IUQDYO4XZ87ULI6CCK0L3YGZA30PFP2AF2JA1BEOCRZ0GUWDI69G2FPDSE024WFUT24W9M9RZ4V8N03C4DIG62H3UNGJV99Q4U8HKM8A7FROR7LGU6OXI38ICUJTZBG39I5ME95WEG8S2PLL756QU4BNYG79Q8A79ZLKELVC96UFWL116EE97J3I9BQJJ1INTDLO42GZSMXMYACP3720BN6P66HKHZJZ9UKU26FNZHW3Z6SM38Z6AA4JAN4G2LO9PTFS1PG0C2SZKFY1KOPXOORCAT9,9H8IX6AOA8PCZU2,663,11065067760,SGPJRF4Q5EYENG,C1MN4C1XKOG,T6FR3FRYDUS2TUDOYJ8NAJWV584489L7G1YT9G7XFX6B1YKWKLR9FI6E2I3SYGELQH4W0B9KC9BL7T4ZW0DVFX5GTQOI1V4XMT9F26WTK6QQCF21JUSCGIVGPFGO8LLBB8Z7I12FWR274N3HOO5RYY9BT1T2TR7BAU51OG9JMTOQ4FM0P3BVDKYOPF9PVB7PZIFUIT76PY5EO9B7X0OOTQBTHC53GBDEPC7R8UCQ8SU8PXEXEW3KPM3G00MG51SIQOYE5IY0Z0U8FPW9F0V6JMWMXSXGL1VKBC6CLK6H05PB,HK,V8,90514339,8,2015-12-02,91966543,82430698,89258936,43641058,31623938511880,92,40300192,23338.479,J4TX14A19LB9PR696Q01,69815.372,LAPVUWHCW52MS0CURXM9,2005-09-20
87,10474,915699505405230,21452961005172,18,AU,RWSHEX1IA1N1WXH1PHVDJ3Y89O2Y4UT3IH6LIQSP9MANEPU1Q14PGIQBZNZYKP8R4GBIEHPY955STSYOQETWRU0D5IDCWCKPERXP5KU0M19YIIBUF3EJE84ZPZ9YEHBRUZSKUUC9NNTC59XYWZYDZITPQR45Z6TZ035QGKE3AO3QMZNBZTCNQURAE3SH3I8HR9HNT29SQ8DW7MDG2UXPM65RR2YQ2WUBZYKUWCYKWM7G28Y8MF6IBHVZ6G7VHWQN71H50HGJ3DHWAOD0SLSR2ZJ9JNJPNSS2P2VU49WKDZOYCOLYYLYKL710BHJ41L0AF68A49F7LYLRDJ2R1SAJTF0Z7PL879HB8YA7BJV2C166CLVRK9W88U8VX4JOPH5HBSF7TPI5CN8ENEU24U6XF8Q2VZD6RNMB5BDFXC0K7OEAB5V4OUKYQPV0XMU9LM6PQ2O94DZJ6QYLXS9P5U499XENYOA4LWRMIG46YW2S6MP815OBM5RQ,VDYIUEY9LET0N2C,401,3708885396,8BELPCLY2163RC,DRM3H76VC6R,R9365DK8GE9CHHWYEKBR1HPOZJ75YZPWRCC0L07IGYJVQZ0SUOVL7EWC4162R25JB5URDPR5WYAJLTE7QCYW937BT3R8ULIIQTWOSIIXI0J2UYC0CWMCLR56NE8RPX6SQRE827WZ1O84FXQ7PFJ4D0PNF7DDZGM2QJX55653S16OONDWGEO9UOL8K9ZYK8EKBPU6MIR675LW0ALGIXX1E8Q6LXYZN5XUBGZW99PNXR70LH74HU06ZBD55SYHP20GJFXW3PH2KS6ACBRUL8IF02QI8ONZKHAN9J3PE6S13Z1H,DW,1X,26276950,7,2012-06-20,86979880,24042927,66065454,49270051,12197830633621,35,40571233,40091.709,RLXPK1LB9VP21CMR6L16,17693.86,NBWKAN2NT7GIKKEN21FX,2015-04-07
88,92,973136315562383,38077700920636,1,NW,EMQ2WFFBKZ685MAGVKG29HFNUQPU4DCNA1LR2EHUOCKDE9FK5YSAX81WV6JA7GQVW5BXLT0JRJUYXY4R5GIRNFYQKNNDHODNYW9W1CM6WU64U8NHQMC08THQBLZAEMCJOZM2QHPG7S44YTVAIBUO9C741NN23R91QY459WHRCJO51K4Z1GEAQAM8EJKP2MZQH7ZSB63J0R49SOYF8S34EKJ92UMEJECVHZIXTGFRHLPD18BXKC323S4WW5ZLWP93889N2L4P73FM05XWF050M7QYMOU59GAQP3BUKHMOLAJ323TVCMAALZ6LIB4S3TH3BESX92KIR4WVTARFHEF7ZCXDP4DGOCNG0WRRV2Q3DIBRL26FUPX18BRD3J31FW1H8TUB20OOOX7Z8XIXQ8QEV2PH4QH91PL11IVZA47QQKX4XZ7QUNFYRQ82PYAVSHY9YWR9JWV8BZXPO11LUOT559JLTHFRTOGX7PX0W0AOU17T13OL865X,5CC5PAY6CQXWVJZ,249,91337420718,YRMLAHOP1FWRO8,FZ7HPR4YD58,P111JKDEXG34UR0NN6VFLZ5KJKQQSWJUGSBRCE2AVEE9XMIYQKCYEOJ2OG3CJ0885Q0RX4HCW24GDR37EGIA7PFJKY1YU8S2FAFN8314FG1AL0QU92Y2E1XHLFYKNWT0SEG9QTG4NMUJLUWZ2ILHC70NJPLLK75F8O6OINKHQ6ILH578LW88NI3STML1J338KDLI5HXCMD2MVU6NBH5PJCJIR9VT54NYYE5K4PPSV3F9H8BP10LEVFLBL7GKVN366XAV0UQKN82JN2J6WNTXPVE9IQKP7UGC79DSRVC6FEHC,YF,C2,79472585,0,2007-02-23,17714241,99636105,32804981,45633326,68559292775698,34,53447791,34996.239,XV128QMMROZICF4ZV4X5,63140.608,JINBH4PRYS1CWUAG8UCT,1994-09-10
89,8808649,978459047999122,47826502965679,40,38,9M68G7R7K9LSO9G0Y2406NVHROUO05UXEJ4UNX01SZ6WPCBGC0K5MIBNT1CKEOBNSA2LT39KQ554OSYZ81TYV2Y2AZ0RFVEM7ENGIMCVUNTPDS1TJE1AUVLKK0HTOXRG3MWCJB0YAZTNBEW2TA728W3I15O7USCQXB8VWUX9A6NSEF6H93MH2EO6HBQR5KCPV5WTVQNJRWESN4B383Q8GM56ARYE66L799NK2S5454CX5SNW32XILLYZLZDMTJI17KZA2FUQWG0DUF9EWZOSFWW4NQ1J7YE27AH201HSPARQUPXENE7QKS7NC36U3P35S1TPDXCH0L1RMR75YX5D3TOJ7868JJEZDIPXH737SHIZJZG650HF68237LNOOG7AN9322W8S826LN6GLFJYQ235JT07FFUZWVNW3QWKOPZV1G1JO5X6AKCJ3NGSWV7YTFN1YHA9Z1TME1DLT8X1MFOCCJ966MHX2JGB666H05POJGNAEGGTO,WP21XP8VSBNOMSG,233,36160365575,F6SARUWDUQPH2I,8L50F9IJ1AF,EUTCXP8KTX999R9WJ96116R0WMAKCJHNYLN2L52CB37PQQLLJPE32ZG81S1K0EH3ZGLWDAPVR0L4MP6E9ALPDAS934YAOXACREQ7A3S5YI1M422T14HFJV5DOKAF12EXEIQUWWELEGNVA9M1F8E8SG73UBDAH8O800TP63719F6D0HCOTADC59S0WQDE4P9NH9E84R1TVRPU3EA15UPUT0W19TMJKLQHLYR0OSINQ1TACNXSO4J85TIGSLDDTKMOAMHY5YZIR0LFC1W4JIYS967DYAJHVP2E5AKQ6GW4EHHR,LX,WC,90515117,8,2019-04-19,81127265,5680585,15211106,20071046,32711772580292,16,46248209,23954.717,LDJIIL0KNAKBA3MLENZ1,13799.595,GT3O9JZXOZBDT2JMG8MP,1995-10-30
90,1416304256,313726635436241,6705724325402,40,H5,72LAE56KMSO5UZ94SUWIFQ5IPICMS6F70AJZYJWL6H7SSQC7L98W4424Y04EVO4XZ47NOFKXX5UKI8UPE7CA8WSSNJCKYNWBMZ5KKDX26CJSXC1AKF6U65ODLVYMT3GAL962C5FUQ7SEU3PE26E68SMFUJGRG94KQH7CAN7XCD0D0LEYOD95T27Z8TYH6EZ18W8RAI52G0W9QC1097N0C8UDO7X9AHTVR4Y47S53QX0AY8TXN5SO8JLD44AQVNY7Q02PYQGQS3BQXBV029Q279CAU1VG7KFIV0ZM0IWCCGQTVCGGINJL932CSQI8TKIQLVQRXD0SBIP9J9BKVNBQVEOY2GVP38ZMH6P83CNADCYS04WVVCH8SDM1P4XIPR5Z7GJCBJRJRYZKADNMMSFB3YM819BSSB2JERNLU5H51VQ532J6PZQO3L78PLDBCK1XOMKNT6MALAS2FROZIQ8LZQ64X6PCRTASSU6C2LGOA9025GO6V36I,YXH90L0DOX9IL5W,11,18456149216,J25AY38DIUJ1UB,CBN56T6OLT5,D8D8G2C3CW5QILBKGJVRWUIP1YBR8E60L3BTCB0QFSMZFTYLWR54F5T5LF5PTFFL2VRTHGGWLJG6Z7LM2QXSOLQ2EK00S170MIL118ZIAAHYJIP8OJYSGKM4D65JBR6XTJLLAJIIKXJLLFTAVUB4OBBOG5PSUTVP8QQTTWR92VPNBOORAC63W9EMNOG2IG685YYIMJM0EXJPRKAXN3KH2EOEVAW7QD1Q45YDZ7OW1DYW5KRXLZ5XAHFSD9V8O0G9685NF00C6TGTY17H1QCVZ04GSFVCVX8CW0C44GYDUUM4,03,OC,42438006,9,2004-10-30,18119820,6803060,23187787,10267927,81356298664575,81,16013815,28328.461,28C2Z4SZI0Y2NRG5F1QY,24527.401,E8G7BRRHQC597KQ6AYV6,2010-10-02
